gen,wmnth,wyr
60403710,10,1987
71424440,11,1987
77948560,12,1987
86453210,1,1988
65417140,2,1988
68037790,3,1988
150030540,4,1988
119790760,5,1988
54948410,6,1988
130821434,7,1988
133888357,8,1988
197871449,9,1988
157821785,10,1988
129831710,11,1988
127761336,12,1988
109982586,1,1989
81411472,2,1989
86572970,3,1989
81572377,4,1989
74168597,5,1989
85877200,6,1989
150405795,7,1989
216462173,8,1989
187366499,9,1989
130729811,10,1989
130569608,11,1989
124944956,12,1989
123236100,1,1990
138539183,2,1990
136413200,3,1990
129243074,4,1990
117927207,5,1990
140451586,6,1990
148423522,7,1990
135822110,8,1990
168980360,9,1990
129951070,10,1990
133022180,11,1990
129482610,12,1990
101643960,1,1991
86641130,2,1991
78515230,3,1991
77218360,4,1991
17806110,5,1991
20499060,6,1991
86400690,7,1991
200219140,8,1991
198517640,9,1991
147687790,10,1991
135182260,11,1991
91335480,12,1991
97459200,1,1992
86826800,2,1992
90959060,3,1992
101266730,4,1992
93914570,5,1992
151985650,6,1992
181257150,7,1992
161283470,8,1992
101531180,9,1992
79911320,10,1992
78589300,11,1992
75636570,12,1992
65629870,1,1993
74947610,2,1993
119977070,3,1993
143870680,4,1993
140165990,5,1993
211020130,6,1993
213094900,7,1993
238281200,8,1993
242104390,9,1993
202021250,10,1993
88108800,11,1993
78149150,12,1993
57619770,1,1994
45007530,2,1994
25793440,3,1994
36568130,4,1994
57227660,5,1994
231213172,6,1994
189024764,7,1994
224995640,8,1994
137946052,9,1994
97132232,10,1994
106135756,11,1994
73385344,12,1994
99468470,1,1995
155451618,2,1995
197090496,3,1995
202441851,4,1995
211036247,5,1995
198462374,6,1995
222989377,7,1995
233126635,8,1995
232071212,9,1995
238838023,10,1995
191065093,11,1995
99090406,12,1995
104547930,1,1996
37676767,2,1996
100271413,3,1996
110503992,4,1996
221382238,5,1996
241592847,6,1996
234775198,7,1996
241858937,8,1996
238817731,9,1996
173058361,10,1996
116066048,11,1996
123436202,12,1996
102043409,1,1997
109042979,2,1997
227081583,3,1997
199295085,4,1997
224952247,5,1997
245180488,6,1997
237992683,7,1997
227242892,8,1997
214970010,9,1997
189476389,10,1997
144471486,11,1997
151672570,12,1997
128380737,1,1998
53338586,2,1998
72488379,3,1998
139935874,4,1998
217739297,5,1998
237229941,6,1998
227718761,7,1998
240828877,8,1998
236717134,9,1998
255885337,10,1998
154443329,11,1998
71147722,12,1998
59877364,1,1999
82427270,2,1999
135154980,3,1999
100385842,4,1999
206144403,5,1999
248450752,6,1999
237291458,7,1999
249561852,8,1999
249680983,9,1999
141801542,10,1999
101945973,11,1999
